date,closest_ims,rain_mm
2020-11-24,186,0.0
2020-11-24,205,0.0
2020-11-24,259,0.0
2020-11-24,42,0.0
2020-11-24,44,0.0
2020-11-24,54,0.0
2020-11-24,67,0.0
2020-11-24,78,0.0
2020-11-25,186,4.199999999999998
2020-11-25,205,4.9
2020-11-25,259,12.1
2020-11-25,42,12.499999999999998
2020-11-25,44,13.4
2020-11-25,54,3.5000000000000004
2020-11-25,67,6.8000000000000025
2020-11-25,78,2.6
2020-11-26,186,39.0
2020-11-26,205,40.4
2020-11-26,259,31.8
2020-11-26,44,28.8
2020-11-26,54,13.3
2020-11-26,67,65.1
2020-11-26,78,44.3
2020-11-27,186,11.4
2020-11-27,205,3.8
2020-11-27,259,0.1
2020-11-27,44,14.4
2020-11-27,54,0.1
2020-11-27,67,13.099999999999998
2020-11-27,78,2.2
2020-11-28,186,0.8
2020-11-28,205,1.2
2020-11-28,259,0.0
2020-11-28,44,0.0
2020-11-28,54,13.4
2020-11-28,67,0.0
2020-11-28,78,0.0
2020-11-29,186,0.0
2020-11-29,205,0.0
2020-11-29,259,0.1
2020-11-29,44,0.0
2020-11-29,54,0.1
2020-11-29,67,0.0
2020-11-29,78,0.0
2020-11-30,186,0.0
2020-11-30,205,0.0
2020-11-30,259,0.0
2020-11-30,44,0.0
2020-11-30,54,0.0
2020-11-30,67,0.0
2020-11-30,78,0.0
2020-12-01,186,0.0
2020-12-01,205,0.0
2020-12-01,259,0.0
2020-12-01,44,0.0
2020-12-01,54,0.0
2020-12-01,67,0.0
2020-12-01,78,0.0
2020-12-02,186,0.0
2020-12-02,205,0.0
2020-12-02,259,0.0
2020-12-02,44,0.0
2020-12-02,54,0.0
2020-12-02,67,0.0
2020-12-02,78,0.0
2020-12-03,186,0.0
2020-12-03,205,0.0
2020-12-03,259,0.0
2020-12-03,44,0.0
2020-12-03,54,0.0
2020-12-03,67,0.0
2020-12-03,78,0.0
2020-12-04,186,0.0
2020-12-04,205,0.0
2020-12-04,259,0.0
2020-12-04,44,0.0
2020-12-04,54,0.0
2020-12-04,67,0.0
2020-12-04,78,0.0
2020-12-05,186,0.6000000000000001
2020-12-05,205,1.6
2020-12-05,259,0.0
2020-12-05,44,2.1
2020-12-05,54,14.7
2020-12-05,67,3.4000000000000004
2020-12-05,78,0.30000000000000004
2020-12-06,186,0.0
2020-12-06,205,0.5
2020-12-06,259,2.1
2020-12-06,44,8.0
2020-12-06,54,5.6
2020-12-06,67,8.3
2020-12-06,78,2.6
2020-12-07,186,0.0
2020-12-07,205,0.0
2020-12-07,259,0.0
2020-12-07,42,0.0
2020-12-07,44,1.2000000000000002
2020-12-07,54,0.0
2020-12-07,67,0.0
2020-12-07,78,0.0
2020-12-08,186,0.1
2020-12-08,205,0.0
2020-12-08,259,0.0
2020-12-08,42,0.0
2020-12-08,44,0.0
2020-12-08,54,0.0
2020-12-08,67,0.0
2020-12-08,78,0.0
2020-12-09,186,0.1
2020-12-09,205,3.0
2020-12-09,259,0.9
2020-12-09,42,3.4000000000000004
2020-12-09,44,0.4
2020-12-09,54,0.30000000000000004
2020-12-09,67,1.4
2020-12-09,78,3.9
2020-12-10,186,0.0
2020-12-10,205,0.0
2020-12-10,259,0.0
2020-12-10,42,0.0
2020-12-10,44,0.0
2020-12-10,54,0.0
2020-12-10,67,0.0
2020-12-10,78,0.1
2020-12-11,186,0.0
2020-12-11,205,0.0
2020-12-11,259,0.0
2020-12-11,42,0.0
2020-12-11,44,0.0
2020-12-11,54,0.0
2020-12-11,67,0.0
2020-12-11,78,0.0
2020-12-12,186,0.0
2020-12-12,205,0.0
2020-12-12,259,0.0
2020-12-12,42,0.0
2020-12-12,44,0.0
2020-12-12,54,0.0
2020-12-12,67,0.0
2020-12-12,78,0.0
2020-12-13,186,0.0
2020-12-13,205,0.0
2020-12-13,259,0.0
2020-12-13,42,0.0
2020-12-13,44,0.0
2020-12-13,54,0.0
2020-12-13,67,0.0
2020-12-13,78,0.0
2020-12-14,186,13.4
2020-12-14,205,12.6
2020-12-14,259,7.3
2020-12-14,42,1.1
2020-12-14,44,0.6000000000000001
2020-12-14,54,5.199999999999998
2020-12-14,67,4.699999999999998
2020-12-14,78,0.0
2020-12-15,186,6.4
2020-12-15,205,5.6
2020-12-15,259,2.0
2020-12-15,42,8.600000000000001
2020-12-15,44,7.7
2020-12-15,54,0.4
2020-12-15,67,3.0
2020-12-15,78,0.0
2020-12-16,186,117.9
2020-12-16,205,78.6
2020-12-16,259,23.6
2020-12-16,42,29.5
2020-12-16,44,21.6
2020-12-16,54,45.5
2020-12-16,67,68.80000000000001
