date,closest_ims,rain_mm,wind_ms,temp_deg,rain_morning,wind_morning,temp_morning
2020-11-24,186,0,1.61,17.3,0,1.26,14.2
2020-11-24,205,0,3.64,16.9,0,4.18,14.7
2020-11-24,259,0,1.49,17.9,0,1.01,16.4
2020-11-24,42,0,5.41,16.5,0,5.69,15.3
2020-11-24,44,0,2.43,18.5,0,2.15,16.2
2020-11-24,54,0,1.28,18.3,0,1.07,14.9
2020-11-24,67,0,4.42,16.9,0,4.75,14.6
2020-11-24,78,0,1.38,16.9,0,0.821,13.9
2020-11-25,186,4.2,1.49,17.6,0,0.992,15.1
2020-11-25,205,4.9,3.33,17.4,0,3.67,16.4
2020-11-25,259,12.1,2.8,16.4,0,2.94,14.2
2020-11-25,42,12.5,2.91,17.4,0,2.18,17.2
2020-11-25,44,13.4,1.94,18.4,0,1.58,16.7
2020-11-25,54,3.5,2.17,17.3,0,1.49,14.6
2020-11-25,67,6.8,2.82,17.6,0,1.8,16.8
2020-11-25,78,2.6,1.43,17.6,0,1.31,15.2
2020-11-26,186,39,2.39,14.5,11,2.59,14.1
2020-11-26,205,40.4,2.49,12.8,28.3,2.65,12.3
2020-11-26,259,31.8,4.61,14.1,18.9,5.97,13.1
2020-11-26,44,28.8,2.99,15.7,15.3,3.22,16
2020-11-26,54,13.3,3.66,15.9,0.1,4.83,16.5
2020-11-26,67,65.1,4.48,13.5,27.1,5.11,13
2020-11-26,78,44.3,2.99,15.5,10.9,3.05,15
2020-11-27,186,11.4,1.23,14.9,0.1,1.03,12.7
2020-11-27,205,3.8,3.05,13.5,0.2,3.56,12.1
2020-11-27,259,0.1,1.84,15,0,1.83,13.5
2020-11-27,44,14.4,2.51,16.5,1.3,2.7,15.1
2020-11-27,54,0.1,1.84,16.5,0.1,1.87,14.5
2020-11-27,67,13.1,2.69,14.2,0.6,2.36,12.9
2020-11-27,78,2.2,1.97,15.6,0.5,1.82,14
2020-11-28,186,0.8,1.24,15.1,0.7,1.09,12.7
2020-11-28,205,1.2,4.06,14.6,1.2,4.84,13.6
2020-11-28,259,0,1.93,14.9,0,2.24,13.2
2020-11-28,44,0,3.34,17.7,0,5.1,17.2
2020-11-28,54,13.4,1.38,15.3,7.7,1.47,12.9
2020-11-28,67,0,5.24,14.9,0,6.53,13.6
2020-11-28,78,0,2.39,16.2,0,3.57,14.8
2020-11-29,186,0,0.936,15.6,0,0.6,12.8
2020-11-29,205,0,2.73,14.7,0,3.27,12.9
2020-11-29,259,0.1,2.35,14.8,0.1,2.65,12.4
2020-11-29,44,0,2.27,17.5,0,2.83,16.2
2020-11-29,54,0.1,1.5,16,0.1,1.38,12.8
2020-11-29,67,0,2.89,15.3,0,3.15,13.6
2020-11-29,78,0,1.88,16.1,0,2.42,13.8
2020-11-30,186,0,1.33,15.8,0,0.967,13
2020-11-30,205,0,3.58,15.2,0,4.88,13.4
2020-11-30,259,0,2.53,14.8,0,2.81,12.5
2020-11-30,44,0,1.97,17,0,2.6,15.3
2020-11-30,54,0,1.44,15.9,0,1.21,12.5
2020-11-30,67,0,2.98,15.5,0,3.23,13.4
2020-11-30,78,0,1.49,16.3,0,1.62,14.5
2020-12-01,186,0,1.13,15.7,0,1.01,12.4
2020-12-01,205,0,3.15,15.2,0,3.48,13.1
2020-12-01,259,0,2.51,15.2,0,2.8,12.7
2020-12-01,44,0,1.94,17.4,0,2.34,15.9
2020-12-01,54,0,1.45,15.9,0,1.31,12.3
2020-12-01,67,0,2.45,16,0,2.3,14
